Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two Lakh
Twenty eight thousand
only)",20,"UG [3 Years
Program(s)]","Andhra University, Visakhapatnam "
2016-17,120,120,2017-18,0,2018-19,95,23,"230000(Two Lakh
Thirty Thousand only)",72,"UG [3 Years
Program(s)]","Andhra University, Visakhapatnam "
2017-18,120,120,2018-19,0,2019-20,71,10,"200000(Two Lakhs
only)",40,"UG [3 Years
Program(s)]","Andhra University, Visakhapatnam "
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two Lakh
Twenty eight thousand
only)",20,"UG [4 Years
Program(s)]","Andhra University, Visakhapatnam "
2016-17,120,120,2017-18,0,2018-19,95,23,"230000(Two Lakh
Thirty Thousand only)",72,"UG [4 Years
Program(s)]","Andhra University, Visakhapatnam "
2017-18,120,120,2018-19,0,2019-20,71,10,"200000(Two Lakhs
only)",40,"UG [4 Years
Program(s)]","Andhra University, Visakhapatnam "
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two Lakh
Twenty eight thousand
only)",20,"UG [5 Years
Program(s)]","Andhra University, Visakhapatnam "
2016-17,120,120,2017-18,0,2018-19,95,23,"230000(Two Lakh
Thirty Thousand only)",72,"UG [5 Years
Program(s)]","Andhra University, Visakhapatnam "
2017-18,120,120,2018-19,0,2019-20,71,10,"200000(Two Lakhs
only)",40,"UG [5 Years
Program(s)]","Andhra University, Visakhapatnam "
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two Lakh
Twenty eight thousand
only)",20,"PG [2 Year
Program(s)]","Andhra University, Visakhapatnam "
2016-17,120,120,2017-18,0,2018-19,95,23,"230000(Two Lakh
Thirty Thousand only)",72,"PG [2 Year
Program(s)]","Andhra University, Visakhapatnam "
2017-18,120,120,2018-19,0,2019-20,71,10,"200000(Two Lakhs
only)",40,"PG [2 Year
Program(s)]","Andhra University, Visakhapatnam "
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two Lakh
Twenty eight thousand
only)",20,"PG [3 Year
Program(s)]","Andhra University, Visakhapatnam "
2016-17,120,120,2017-18,0,2018-19,95,23,"230000(Two Lakh
Thirty Thousand only)",72,"PG [3 Year
Program(s)]","Andhra University, Visakhapatnam "
2017-18,120,120,2018-19,0,2019-20,71,10,"200000(Two Lakhs
only)",40,"PG [3 Year
Program(s)]","Andhra University, Visakhapatnam "
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two Lakh
Twenty eight thousand
only)",20,"PG [6 Year
Program(s)]","Andhra University, Visakhapatnam "
2016-17,120,120,2017-18,0,2018-19,95,23,"230000(Two Lakh
Thirty Thousand only)",72,"PG [6 Year
Program(s)]","Andhra University, Visakhapatnam "
2017-18,120,120,2018-19,0,2019-20,71,10,"200000(Two Lakhs
only)",40,"PG [6 Year
Program(s)]","Andhra University, Visakhapatnam "
2014-15,220,208,2015-16,0,2017-18,196,115,"1030000(Ten Lakhs
Thirty Thousand)",59,"UG [4 Years
Program(s)]",Indian Institute of Technology Hyderabad 
2015-16,220,203,2016-17,0,2018-19,191,124,"1200000(Twelve
Lakhs)",40,"UG [4 Years
Program(s)]",Indian Institute of Technology Hyderabad 
2016-17,240,242,2017-18,0,2019-20,219,144,"1700000(Seventeen
Lakhs)",44,"UG [4 Years
Program(s)]",Indian Institute of Technology Hyderabad 
2014-15,220,208,2015-16,0,2017-18,196,115,"1030000(Ten Lakhs
Thirty Thousand)",59,"PG [2 Year
Program(s)]",Indian Institute of Technology Hyderabad 
2015-16,220,203,2016-17,0,2018-19,191,124,"1200000(Twelve
Lakhs)",40,"PG [2 Year
Program(s)]",Indian Institute of Technology Hyderabad 
2016-17,240,242,2017-18,0,2019-20,219,144,"1700000(Seventeen
Lakhs)",44,"PG [2 Year
Program(s)]",Indian Institute of Technology Hyderabad 
2014-15,220,208,2015-16,0,2017-18,196,115,"1030000(Ten Lakhs
Thirty Thousand)",59,"PG [3 Year
Program(s)]",Indian Institute of Technology Hyderabad 
2015-16,220,203,2016-17,0,2018-19,191,124,"1200000(Twelve
Lakhs)",40,"PG [3 Year
Program(s)]",Indian Institute of Technology Hyderabad 
2016-17,240,242,2017-18,0,2019-20,219,144,"1700000(Seventeen
Lakhs)",44,"PG [3 Year
Program(s)]",Indian Institute of Technology Hyderabad 
2014-15,2460,2460,2015-16,0,2017-18,2036,680,300000(Three Lakhs),428,"UG [4 Years
Program(s)]",Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
